datetime,open,high,low,close,volume
2024-04-22 09:15:00,48146.3,48146.3,47859.6,47894.35,3300612.0
2024-04-22 09:16:00,47908.4,47919.3,47890.3,47908.35,2785305.0
2024-04-22 09:17:00,47898.35,47920.75,47895.05,47909.25,1431875.0
2024-04-22 09:18:00,47911.85,47928.25,47884.2,47893.85,1208345.0
2024-04-22 09:19:00,47894.6,47894.6,47824.35,47835.05,1352687.0
2024-04-22 09:20:00,47826.8,47890.6,47826.8,47873.3,959211.0
2024-04-22 09:21:00,47876.65,47881.2,47846.65,47878.25,916832.0
2024-04-22 09:22:00,47879.3,47924.25,47867.55,47900.3,1391924.0
2024-04-22 09:23:00,47900.35,47908.85,47874.1,47882.6,1275631.0
2024-04-22 09:24:00,47881.7,47898.35,47868.75,47870.15,1016363.0
2024-04-22 09:25:00,47869.65,47910.6,47868.0,47910.25,642635.0
2024-04-22 09:26:00,47909.8,47909.8,47870.9,47877.65,500870.0
2024-04-22 09:27:00,47876.05,47910.0,47865.5,47897.25,1293977.0
2024-04-22 09:28:00,47897.0,47899.05,47875.05,47887.7,631885.0
2024-04-22 09:29:00,47888.1,47888.1,47826.85,47836.15,726545.0
2024-04-22 09:30:00,47837.65,47866.75,47811.15,47826.35,736010.0
2024-04-22 09:31:00,47824.95,47832.6,47806.4,47825.15,518573.0
2024-04-22 09:32:00,47814.5,47841.1,47801.8,47840.15,539350.0
2024-04-22 09:33:00,47840.8,47879.8,47821.85,47864.85,497923.0
2024-04-22 09:34:00,47866.1,47871.55,47814.9,47817.15,557191.0
2024-04-22 09:35:00,47816.9,47839.75,47813.05,47832.3,277950.0
2024-04-22 09:36:00,47832.45,47839.5,47745.75,47770.7,738770.0
2024-04-22 09:37:00,47770.2,47778.15,47752.1,47757.85,500073.0
2024-04-22 09:38:00,47763.75,47784.35,47753.3,47763.85,1332470.0
2024-04-22 09:39:00,47760.0,47785.55,47751.15,47767.7,1092958.0
2024-04-22 09:40:00,47770.6,47797.9,47754.65,47790.35,1870246.0
2024-04-22 09:41:00,47792.7,47792.7,47736.55,47747.85,709104.0
2024-04-22 09:42:00,47747.0,47767.25,47727.25,47735.85,469492.0
2024-04-22 09:43:00,47736.2,47757.6,47726.2,47738.7,579288.0
2024-04-22 09:44:00,47739.15,47742.4,47710.85,47732.8,558007.0
2024-04-22 09:45:00,47730.15,47735.1,47719.25,47721.5,756430.0
2024-04-22 09:46:00,47720.7,47721.4,47671.3,47682.25,743423.0
2024-04-22 09:47:00,47679.5,47726.3,47671.25,47721.2,497634.0
2024-04-22 09:48:00,47721.25,47742.5,47694.5,47703.75,502059.0
2024-04-22 09:49:00,47701.1,47717.15,47680.45,47717.0,434111.0
2024-04-22 09:50:00,47716.55,47760.15,47710.8,47753.25,630794.0
2024-04-22 09:51:00,47753.0,47767.95,47720.75,47720.75,978677.0
2024-04-22 09:52:00,47721.35,47728.15,47707.8,47719.95,543705.0
2024-04-22 09:53:00,47718.6,47721.3,47700.55,47709.2,272155.0
2024-04-22 09:54:00,47709.65,47728.5,47695.4,47726.7,647665.0
2024-04-22 09:55:00,47725.3,47751.2,47722.15,47748.6,411110.0
2024-04-22 09:56:00,47752.2,47788.75,47746.3,47776.25,508086.0
2024-04-22 09:57:00,47777.8,47782.6,47750.4,47767.05,495685.0
2024-04-22 09:58:00,47766.9,47801.85,47765.7,47782.35,439059.0
2024-04-22 09:59:00,47783.95,47795.2,47766.4,47769.15,298899.0
2024-04-22 10:00:00,47771.7,47805.3,47767.3,47798.35,621262.0
